smiles,logP_ALOGPS,logS,logP_ChemAxon,solubility_ALOGPS,pKa_acid,pKa_base,PSA,Polarizability,H_Acceptor_Count,H_Donor_Count
CC(N)CC1=CC=CC=C1,1.85,-1.9,1.8,1.74e+00 g/l,,10.01,26.02,16.17,1,1
CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,1.66,-5.5,1.05,2.61e-03 g/l,4,,250.91,78.01,8,8
CN1CCC[C@H]1C1=CN=CC=C1,0.87,-0.24,1.16,9.33e+01 g/l,,8.58,16.13,18.59,2,0
CC1O[C@@]2(CS1)CN1CCC2CC1,1.46,-1.9,1,2.41e+00 g/l,,8.59,12.47,21.88,2,0
OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,2.98,-4.3,3.53,1.76e-02 g/l,10.61,-2.2,61.69,30.33,3,2
COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,2.02,-3.3,1.82,1.44e-01 g/l,14.09,9.67,67.79,33.68,4,2
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,0.89,-3.9,1.53,5.32e-02 g/l,8.64,-0.59,124.44,40.65,6,4
CCC(O)(\C=C\Cl)C#C,1.45,-3,1.62,1.43e-01 g/l,12.88,-3.7,20.23,14.77,1,1
C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,-0.16,-1.8,-1.2,3.73e+00 g/l,2.35,5.66,115.81,21.81,6,5
CC(C)(N)CC1=CC=CC=C1,2.32,-2.3,2.08,7.57e-01 g/l,,10.25,26.02,17.87,1,1
CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,3.24,-5.5,3.26,8.96e-04 g/l,16.51,10.4,55.12,35.56,2,2
COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,2.71,-2.6,2.45,7.50e-01 g/l,13.8,9.23,32.7,30.51,3,1
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-1.2,-1.3,-2.1,1.40e+01 g/l,12.45,3.94,139.54,25.2,8,4
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,3,-4,2.54,2.98e-02 g/l,14.09,9.67,50.72,37.05,4,2
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,0.58,-2.3,0.56,1.39e+00 g/l,12.68,2.3,81.65,26.52,5,1
CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,4.16,-5.6,5.5,1.21e-03 g/l,6.61,-4.6,84.86,47.27,5,2
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,1.3,-2.7,1.16,6.86e-01 g/l,14.03,9.31,90.65,34.64,4,2
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,2.37,-3.2,2.6,4.59e-01 g/l,12.45,9,193.91,78.51,13,5
[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],,,-14,,1.82,-0.55,437.23,135.56,14,10
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.24,-1.2,-0.55,1.10e+01 g/l,,-1.2,58.44,18.95,3,0
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,-2.5,-5.7,-8.4,7.57e-04 g/l,,-6.8,52.6,33.15,2,0
CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,1.8,-3,1.87,4.60e-01 g/l,11.14,5.99,109.13,51.18,8,1
CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,2.17,-4.4,0.24,1.98e-02 g/l,10.15,8.99,104.81,46.03,6,2
CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,2.62,-3.1,2.75,1.79e-01 g/l,17.22,7.77,77.82,25.79,4,2
[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,4.05,-4.7,3.53,1.13e-02 g/l,16.29,7.39,117.78,66.06,8,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,3.03,-3.2,2.44,5.14e-01 g/l,12.43,9.57,180.08,82.93,13,5
ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,4.25,-4.1,4.2,2.19e-02 g/l,,6.94,3.24,27.99,1,0
[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,2.86,-6.8,-0.5,6.68e-05 g/l,11.05,-4.5,46.53,43.25,2,1
COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,6.06,-8,6.46,4.01e-06 g/l,3.99,-4.8,46.53,47.64,3,1
COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,-0.49,-1.8,-0.95,4.45e+00 g/l,13.77,8.14,93.81,26.65,5,3
CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,2.42,-4.5,2.37,2.13e-02 g/l,12.32,6.74,161.48,68.38,7,5
COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,2.11,-2.9,2.18,4.95e-01 g/l,9.15,3.55,86.33,35.17,6,1
CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,1.76,-3.8,1.86,5.96e-02 g/l,5.92,4.2,100.19,36.15,5,3
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,3.58,-4.7,3.76,5.88e-03 g/l,,9.78,36.26,35.3,3,0
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,3.84,-5.5,3.77,1.18e-03 g/l,16.56,8.37,53.17,42.99,3,1
CN\C(NCC1=CC=CC=C1)=N/C,1.41,-2,1.27,1.58e+00 g/l,,12.41,36.42,20.43,3,2
[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,0.01,-3.4,-0.51,1.68e-01 g/l,5.49,9.51,82.11,41.24,7,2
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,0.2,-6.4,-0.2,1.36e-04 g/l,11.53,-4.3,46.53,40.63,2,1
[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,4.61,-5.5,4.72,1.91e-03 g/l,9.32,8.18,101.9,63.81,5,4
CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,0.63,-1.9,1.05,3.18e+00 g/l,10.01,9.01,72.72,26.39,4,4
CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,2.82,-4.1,3.12,3.84e-02 g/l,4.32,-3.7,124.68,53.49,5,3
[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,1.91,-3.7,1.34,8.53e-02 g/l,12.42,-3.3,94.83,40.92,5,3
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,3.26,-4.1,2.81,4.82e-02 g/l,13.01,6.76,118.03,68.94,7,4
[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O,0.02,-2.1,-8.7,5.21e+00 g/l,1.02,8.34,188.31,40.47,11,2
NC(N)=NCC1COC2(CCCCC2)O1,0.03,-2,0.62,1.93e+00 g/l,19.85,12.56,82.86,23.23,5,2
