smiles,logP_ALOGPS,logS,logP_ChemAxon,solubility_ALOGPS,pKa_acid,pKa_base,PSA,Polarizability,H_Acceptor_Count,H_Donor_Count
CCCC[C@@H](NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC1=CC=NC=C1,1.41,-5.3,1.12,3.49e-03 g/l,12.18,11.69,217.21,74.14,9,8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(=O)NNC(=O)OCCSSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(O)=O)NC(=O)CC[C@H](NC(=O)C1=CC=C(NCC2=CNC3=NC(N)=NC(=O)C3=N2)C=C1)C(O)=O)C(O)=O)[C@]1(C[C@@]2([H])C[N@](C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,1.42,-5.2,-12,1.33e-02 g/l,2.47,11.9,716.39,192.53,36,23
OC(NC1=CNN=C1C1=NC2=C(N1)C=CC(CN1CCOCC1)=C2)=NC1CC1,1.9,-3.8,0.48,6.52e-02 g/l,5.29,6.82,114.45,41.61,7,4
,,,,,,,,,,
[H]\C(C1=CC(OC)=C(C=C1)N1C=NC(C)=C1)=C1\CCCN(C1=O)[C@@]([H])(C)C1=CC=C(F)C=C1,4.47,-5.4,4.16,1.65e-03 g/l,,6.27,47.36,46.08,3,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CCC4=C\C(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=N\O,6.54,-6.6,7.69,1.02e-04 g/l,11.46,3.37,32.59,51.56,2,1
CC(C)=CCC\C(C)=C\CNCCNC1C2CC3CC(C2)CC1C3,4.42,-5.3,4.64,1.71e-03 g/l,,10.24,24.06,42.84,2,2
CSC1=CC=C(C=C1)C(=O)\C=C\C1=CC(C)=C(OC(C)(C)C(O)=O)C(C)=C1,4.6,-6.2,5.87,2.28e-04 g/l,4,-4.9,63.6,43.14,4,1
CC1=CC=C(C=C1)S(O)(=O)=O.[H]C1(CC2=C(C1)C(=CC=C2)S(=O)(=O)N1[C@@]([H])(C)CN(C[C@@]1([H])C)C1=CC=C(OC(F)(F)F)C=C1)C(O)=O,3.33,-4.2,4.88,3.49e-02 g/l,3.9,2.86,87.15,47.48,6,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CC(C)=CCOC1=CC=C(\C=C\C(=O)C2=C(OCC(O)=O)C=C(OCC=C(C)C)C=C2)C=C1,4.94,-5.8,5.62,6.74e-04 g/l,3.22,-4.4,82.06,51.22,6,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)C=C2C[C@@H](O)CC[C@]12C,1.68,-4.3,1.8,1.70e-02 g/l,17.59,-0.77,60.69,38.17,3,3
,,,,,,,,,,
,,,,,,,,,,
OB1OCC2=C1C=CC(OC1=CC=C(C=C1)C#N)=C2,2.6,-4,3.34,2.34e-02 g/l,8.95,-3.7,62.48,25.9,3,1
COC1=CC(NC2=NC=C3CN=C(C4=CC(Cl)=CC=C4C3=N2)C2=C(OC)C=CC=C2F)=CC=C1C(O)=O,5,-5.5,5.5,1.49e-03 g/l,4.28,3.01,105.93,52.31,8,2
CCCCC1=NC2=C(C=CC(\C=C\C(=O)NO)=C2)N1CCN(CC)CC,3.98,-4.1,2.57,3.06e-02 g/l,9.29,9.89,70.39,42.85,4,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C1=C(O2)C(CCCC(O)=O)=CC=C1,3.45,-4.6,3.6,9.90e-03 g/l,4.2,-1.4,86.99,44.74,5,3
,,,,,,,,,,
[H][C@]12OC3([O-])OC(C4C(O)[NH+]=C(N)NC4(C1O)[C@@H]3O)C2(O)CO,0.42,-0.5,-4.8,1.17e+02 g/l,10.4,9.62,194.69,27.83,10,8
,,,,,,,,,,
C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1C1=CC2=C(NC(=O)C=C2C(F)(F)F)C=C1,4.29,-4.1,3.58,3.44e-02 g/l,10.91,0.46,52.57,32.63,3,2
,,,,,,,,,,
OC1(CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1)[C@@H]1CCCCN1,3.35,-4.1,5.04,4.22e-02 g/l,13.37,9.76,64.6,44.75,4,3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1,0.19,-1.7,0.39,7.87e+00 g/l,6.99,2.01,95.17,24.1,6,1
CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,1.46,-2,1.46,2.13e+00 g/l,19.03,-7.2,37.38,21.45,2,0
,,,,,,,,,,
CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,4.69,-4.1,4.5,2.73e-02 g/l,,-2.7,70.79,36.68,3,0
[H][C@@]12CC[C@](OC(C)=O)(C(=O)COC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],4.63,-5,4.45,5.56e-03 g/l,18.42,4.89,72.91,56.9,5,0
CC(C)(CC1CC2=C(C1)C=CC=C2)NC[C@@H](O)COC1=CC(CCC(O)=O)=CC(F)=C1F,2.37,-5.5,2.21,1.45e-03 g/l,3.23,9.96,78.79,47.78,5,3
[Ga+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,,,-2.6,,,-9.9,66.2,3.28,3,0
O=C1NC2=C(C=NN2)C(=O)N1,-0.65,-1.5,-1.7,4.58e+00 g/l,6.25,2.09,82.59,12.6,5,3
[H][C@]12C[C@@]3([H])[C@]4([H])CC=C5C[C@H](CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@H](C)CO1)O2)OC(=O)CCCCC,6.34,-7.5,7.4,1.55e-05 g/l,,-4,44.76,64.08,3,0
,,,,,,,,,,
[H][C@@]12CCC3=CC(C(C)C)=C(C=C3[C@@]1(C)CCC[C@@]2(C)C(O)=O)S(O)(=O)=O,1.5,-5,4.93,4.26e-03 g/l,-1.5,,91.67,41.24,5,2
CC(C)C(=O)C1=C2C=CC=CN2N=C1C(C)C,3.36,-3.1,3.68,1.79e-01 g/l,16.55,1.85,34.37,26.31,2,0
,,,,,,,,,,
CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1,5.01,-4.5,4.34,9.04e-03 g/l,10.03,10.97,23.47,36.56,2,1
[153Sm+3].OP(O)(=O)CN(CCN(CP(O)([O-])=O)CP(O)([O-])=O)CP(O)([O-])=O,0.03,-1.5,-4.2,2.00e+01 g/l,0.96,,245.09,31.44,14,5
,,,,,,,,,,
COC1=CC(=CC(OC)=C1OC)[C@@H](O)CC1=CC(O)=C(OC)C=C1,2.23,-3.8,2.34,5.45e-02 g/l,9.99,-3.1,77.38,34.48,6,2
,,,,,,,,,,
[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC=C1[C@@]2([H])CCC2=CC(=O)CC[C@]12C,3.33,-4.5,2.62,1.13e-02 g/l,12.61,-3.8,80.67,42.64,4,1
C[C@@H](C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,3.57,-4,3.94,2.49e-02 g/l,4.42,,37.3,25.31,2,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1,5.01,-4.7,4.54,1.02e-02 g/l,14.35,9.13,59.51,47.1,6,1
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)[C@@H](OCCCO)[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O,5.04,-4.7,3.67,1.05e-02 g/l,13.38,-1.3,90.15,59.7,5,4
[Lu+3].CC([O-])=O.CC([O-])=O.CCC1=C2[N-]C(\C=C3/N=C(/C=N/C4=CC(OCCOCCOCCOC)=C(OCCOCCOCCOC)C=C4\N=C\C4=N\C(=C/2)\C(CCCO)=C4C)C(C)=C3CCCO)=C1CC,4.99,-5.3,6.76,5.32e-03 g/l,15.62,2.45,178.75,106.08,15,2
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@@]3([H])[C@@](C)([C@@H](O)C[C@@]4([H])OC[C@@]34OC(=O)C)C(=O)[C@H](OC(=O)C)C(=C1C)C2(C)C)[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,6.99,-7.2,10.96,7.67e-05 g/l,12.55,-1.2,227.36,124.76,10,3
CCOC1=C(OCC)C=C(C=C1)C1=NC(=CS1)C1=NC(=CC=C1)C(O)=O,4.38,-5.1,4.3,3.01e-03 g/l,0.8,4.17,81.54,39.86,6,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1,4.19,-4.8,4.01,7.48e-03 g/l,15.06,8.44,44.81,47.76,3,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FC1=C(CN2C(=O)C3=CC=CN3[C@@]3(CC(=O)NC3=O)C2=O)C=CC(Br)=C1,2.3,-4.2,1.79,2.95e-02 g/l,9.22,-6.9,88.48,35.01,4,1
,,,,,,,,,,
,,,,,,,,,,
Cl.C(CNC[C@H]1COC2=CC=CC=C2O1)COC1=CC2=C(OCO2)C=C1,2.43,-3.7,2.51,7.29e-02 g/l,,9.1,58.18,37.06,6,1
[Na+].CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)COC(=O)C1=CC(=CC=C1)S([O-])(=O)=O,2.5,-4.4,0.81,2.49e-02 g/l,-2.5,-2.9,158.1,55.75,8,2
CCCCCC[C@@H](CCC)C(O)=O,3.94,-3.3,4.13,9.19e-02 g/l,5.24,,37.3,23.23,2,1
,,,,,,,,,,
,,,,,,,,,,
CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=CC=CC=C2N1,2.84,-3.2,3.03,2.50e-01 g/l,9.35,4.16,67.87,34.5,4,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ClC1=CC=C(OS(=O)(=O)C2=CC=C(Cl)C=C2)C=C1,3.5,-4.6,4.4,7.90e-03 g/l,,,43.37,28.27,2,0
[166Ho++].OP(O)(=O)CN1CCN(CP(O)(O)=O)CCN(CP([O-])([O-])=O)CCN(CP(O)(O)=O)CC1,-0.64,-1.4,-4.4,3.21e+01 g/l,0.96,,248.74,45.17,16,6
NCCC1=CNC=N1,-0.69,0.18,-0.7,1.69e+02 g/l,14.46,9.58,54.7,12.08,2,2
II,,,1.36,,,,0,10.18,0,0
NNC(N)=N,-1.8,-0.95,-1.5,8.36e+00 g/l,,12.01,87.92,6.88,4,4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
O.O=O.[O-][Cl]=O.[O-][Cl]=O.[O-][Cl]=O.[O-][Cl]=O,-0.91,0.77,0.18,5.02e+02 g/l,-4.6,,40.13,3.91,2,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
[H][C@](O)(CN[C@@]1([H])CCC2=C(C1)C=C(OCC(=O)OCC)C=C2)C1=CC(Cl)=CC=C1,3.91,-5.4,3.89,1.79e-03 g/l,14.03,9.7,67.79,43.09,4,2
CCCCCCCCCCCC[N+](C)(C)[O-].CCCCCCCCCCCC[N+](C)(C)CC([O-])=O,1.17,-6.9,0.39,4.03e-05 g/l,3.62,,40.13,34.94,2,0
CC(C)(C)C1=CC(SC(C)(C)SC2=CC(=C(OC(=O)CCC(O)=O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C,8.18,-7.3,10.31,3.09e-05 g/l,4.33,-5.1,83.83,71.27,4,2
[H][C@@]12C[C@H](C(=O)OOC)[C@](C)(O1)N1C3=C(C=C(CSCC)C=C3)C3=C4CNC(=O)C4=C4C5=C(C=CC(CSCC)=C5)N2C4=C13,5.35,-4.8,6.26,1.11e-02 g/l,13.39,-1.5,83.72,23.23,4,1
,,,,,,,,,,
,,,,,,,,,,
CC(=O)C1=C(NC(=O)C2=C(C=CS2)S(=O)(=O)NC2=C(C)C(C)=NO2)C(C)=CC(C)=C1,3.01,-4.5,3.8,1.34e-02 g/l,5.29,1.66,118.37,45.03,5,2
C[C@H](NC(=O)C(=O)NC1=C(C=CC=C1)C(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)COC1=C(F)C(F)=CC(F)=C1F,3.48,-5.4,3.42,2.13e-03 g/l,3.51,-4.3,150.9,51.56,7,4
CC(=O)NC1=CC=C(OC(=O)CCCO[N+]([O-])=O)C=C1,1.24,-3.8,1.23,4.68e-02 g/l,14.68,-4.4,107.77,27.53,5,1
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)COC(=O)C1=CC=CC(CON(=O)=O)=C1,2.96,-5.4,3.93,2.44e-03 g/l,12.61,-2.8,155.95,56.82,8,2
[H][C@]1(C)CN(C(=O)C2=C(Cl)C=C3N(C)C=C(C(=O)C(=O)N(C)C)C3=C2)[C@]([H])(C)CN1CC1=CC=C(F)C=C1,3.78,-4.9,3.9,5.86e-03 g/l,,6.49,65.86,54.45,4,0
CC1=C(N(CC2=CC=C(OCCN3CCCCC3)C=C2)C2=C1C=C(O)C=C2)C1=CC=C(O)C=C1,5.75,-5.7,5.82,9.33e-04 g/l,9.51,8.77,57.86,52.18,4,2
,,,,,,,,,,
CC1=C(CSC2=CC(C)=C(OCC(O)=O)C=C2)SC(=N1)C1=CC=C(C=C1)C(F)(F)F,5.43,-6.2,5.7,3.25e-04 g/l,3.51,2.14,59.42,43.38,4,1
,,,,,,,,,,
,,,,,,,,,,
CN1CCC2=CC(=C(O)C=C2[C@H](C1)C1=C2OCCC2=CC=C1)[N+]([O-])=O,3.29,-3.7,2.04,6.25e-02 g/l,6.66,8.8,75.84,34.96,5,1
[Ga+3].CC1=C([O-])C(=O)C=CO1.CC1=C([O-])C(=O)C=CO1.CC1=C([O-])C(=O)C=CO1,2.56,-4.5,0.55,1.49e-02 g/l,9.45,-3.6,49.36,11.26,3,0
COC1=CC=C(OC(F)(F)F)C=C1CN[C@H]1CCCN[C@H]1C1=CC=CC=C1,2.77,-5.4,4.69,1.52e-03 g/l,,8.75,42.52,37,4,2
COC1=CC=CC2=C1CCC(=O)N2CCCN1CCN(CC1)C1=CC=CC(Cl)=C1,3.99,-4.2,3.64,2.96e-02 g/l,,7.67,36.02,46.15,4,0
[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C3OCOC3=C1)C1=C3CCC(=O)C=C3CC[C@@]21[H],4.56,-5.1,4.65,3.37e-03 g/l,12.87,-3.7,55.76,48.36,4,1
FC1=C(Cl)C=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1,4.09,-4.5,3.9,1.55e-02 g/l,12.54,6.87,88.61,50.36,7,2
[Gd+3].CC([O-])=O.CC([O-])=O.CCC1=C(CC)/C2=C/C3=N/C(=C\N=C4/C=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C/C/4=N\C=C4/N=C(/C=C\1\[N-]\2)C(CCCO)=C4C)/C(C)=C3CCCO,4.95,-5,6.76,1.22e-02 g/l,15.62,2.45,178.75,103.73,15,2
,,,,,,,,,,
NC(=O)N(O)CCC#C[C@@H]1CC[C@@H](COC2=CC=C(F)C=C2)O1,,,1.88,,9.5,-4.2,85.02,32.75,4,2
,,,,,,,,,,
,,,,,,,,,,
CCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)CN(C)C(C)=O)C(C)C)[C@@H](C)CC)[C@@H](C)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC,1.08,-4.4,-3.3,4.26e-02 g/l,10.73,11.56,358.05,107.38,14,11
,,,,,,,,,,
[H][C@@]12CC[C@](OC(=O)C(Cl)Cl)(C(=O)OCC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,3.49,-5.3,3.99,2.35e-03 g/l,14.88,-2.9,89.9,49.4,4,1
,,,,,,,,,,
C(C1CONC(=N1)C1=CN=CC=C1)N1CCCCC1,1.31,-2.5,1.1,9.08e-01 g/l,18.8,8.68,49.75,28.6,5,1
NC(CCC(=O)NC(CSCO)C(=O)NCC(O)=O)C(O)=O,-3.2,-1.8,-5.5,5.27e+00 g/l,1.79,9.31,179.05,32.24,8,6
,,,,,,,,,,
CCC(C)SSC1=NC=CN1,2.78,-2.4,2.77,7.83e-01 g/l,10.93,4.81,28.68,19.94,1,1
,,,,,,,,,,
[H][C@]12C[C@@]3([H])[C@]4([H])CC[C@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@H](C)CO1)O2,4.52,-7.1,5.33,3.28e-05 g/l,18.3,-1.4,38.69,51.43,3,1
,,,,,,,,,,
,,,,,,,,,,
FC(F)(F)C1=CC(=CC=C1)C1=CCN(CCC2=CC=C(C=C2)C2=CC=CC=C2)CC1,6.49,-6.4,6.89,1.58e-04 g/l,,8.92,3.24,44.72,1,0
,,,,,,,,,,
CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,5.59,-7.6,8.64,2.06e-05 g/l,1.86,-6.7,111.19,93.43,4,0
,,,,,,,,,,
CC1=C(OC[C@@H]2CCCN2)C=CC=N1,1.16,-1.2,0.83,1.31e+01 g/l,,10.47,34.15,21.74,3,1
CCOC(=O)[C@@H](N)CCC(=O)N[C@@H](CSCC1=CC=CC=C1)C(=O)N[C@@H](C(=O)OCC)C1=CC=CC=C1,2.39,-5.3,2.42,2.45e-03 g/l,11.75,7.18,136.82,57.51,5,3
O.Cl.CCC(=O)NC1=C(C)C=C(C=C1C)C(=O)N1CCC(CC1)N(C)CCC1=CC=CC=C1,4.05,-4.6,4.28,1.11e-02 g/l,13.85,9.71,52.65,49.91,3,1
CCC(C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,5.85,-6.7,6.52,6.91e-05 g/l,,8.78,12.47,44.5,2,0
,,,,,,,,,,
,,,,,,,,,,
COC1=C(OCCCN2CCCCC2)C=C2N=CN=C(N3CCN(CC3)C(=O)NC3=CC=C(OC(C)C)C=C3)C2=C1,4.52,-3.9,4.34,7.53e-02 g/l,14.01,9.03,92.29,64.1,8,1
,,,,,,,,,,
CC1(C)CCC(C)(C)C2=C1C=C(CN1C=CC=N1)C(\C=C\C1=CC=C(C=C1)C(O)=O)=C2,6.94,-6.1,6.75,3.44e-04 g/l,4.13,2.07,55.12,47.96,3,1
,,,,,,,,,,
,,,,,,,,,,
NC(=O)N(C1=CC=C(C(N)=O)C(=N1)C1=CC=C(F)C=C1F)C1=C(F)C=CC=C1F,2.91,-5.2,3.23,2.45e-03 g/l,13.95,0.042,102.31,34.86,3,2
,,,,,,,,,,
,,,,,,,,,,
N[C@H](CCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O)C(O)=O,-1.4,-3,-2,3.47e-01 g/l,1.98,9.31,145.51,33.36,6,5
Cl.CCOC(=O)N1CCN(CC1)C(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)NS(=O)(=O)C1=C(C=C(C=C1C(C)C)C(C)C)C(C)C,3.02,-5.1,4.44,4.62e-03 g/l,10.55,11.51,145.89,68.31,6,3
CS(O)(=O)=O.NC1=C2N=CN(CCOC[P@@]3(=O)OCC[C@H](O3)C3=CC(Cl)=CC=C3)C2=NC=N1,1.7,-3,1.81,4.50e-01 g/l,18.55,3.75,114.38,39.11,6,1
CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)NC(CC1=CN=CN1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,-1.6,-4.8,-8.9,2.61e-02 g/l,3.47,11.57,642.98,171.95,24,23
,,,,,,,,,,
CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,2.73,-3.1,1.87,2.90e-01 g/l,9.66,3.92,99.96,41.43,5,2
OC(=O)C1=CC=CC=N1,0.22,-0.3,-0.65,6.11e+01 g/l,1,5.52,50.19,11.38,3,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ClC1=CC=C(C(Cl)=C1)S(=O)(=O)NC1=CC(Cl)=C(OC2=CN=C3C=CC=CC3=C2)C(Cl)=C1,6.43,-6.9,6.54,6.99e-05 g/l,7.11,3.75,68.29,45.91,3,1
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(N)=O,-1.9,-3.6,-6.7,1.39e-01 g/l,9.94,6.74,271.8,57.77,9,9
CC1=CC(=C(NCCCN)C=C1)[N+]([O-])=O,1.8,-2.6,1.81,4.72e-01 g/l,15.25,9.82,81.19,22.52,4,2
,,,,,,,,,,
CCCCCCCC\C=C\CCCCCCCC(=O)OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,5.52,-5.1,4.65,4.19e-03 g/l,12.56,4.07,134.68,59.02,7,3
COC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)S(=O)(=O)NC(CC#CCN1CCOCC1)C(O)=O,1.69,-4.7,-0.59,9.65e-03 g/l,3.17,6.18,134.27,51.33,8,3
C[C@](O)(C(=O)NC1=CC=CC2=C1C(=O)C1=C(CS2(=O)=O)C=CS1)C(F)(F)F,2.66,-3.7,2.76,7.95e-02 g/l,9.45,-5.2,100.54,35.76,5,2
,,,,,,,,,,
NCCCCN(CC1=NC2=CC=CC=C2N1)[C@H]1CCCC2=C1N=CC=C2,2.61,-4.1,2.61,2.84e-02 g/l,11.5,10.18,70.83,41.01,4,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(NCC3=CC(I)=CC=C3)N=CN=C12,1,-3.4,0.6,1.92e-01 g/l,12.39,3.72,134.42,44.93,8,4
CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1,6.19,-5.7,5.37,7.01e-04 g/l,,10.2,6.48,44.46,2,0
CC[C@H](C)CC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(O)=O)O1,3.16,-4.4,4.85,1.58e-02 g/l,4.3,-4.4,83.83,44.14,5,2
[H][C@@](C)(NP(=O)(N[C@@]([H])(C)C(=O)OCC)C1=CC=C(O1)C1=C(CC(C)C)SC(N)=N1)C(=O)OCC,2.14,-3.9,2.74,6.86e-02 g/l,17.32,3.91,145.78,51.23,5,3
CC[C@H](C)OC(=O)CC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,7.15,-5.1,7.02,5.53e-03 g/l,18.08,8.47,68.98,61.49,4,0
[H][C@@]12CC3=C(C=CC(=O)N3)[C@](CC(C)=C1)(\N=C\C1=CC(Cl)=CC(OC)=C1O)\C2=C\C,,,3.31,,8.86,3.18,70.92,43.57,4,2
[H][C@@]12CCC[C@]1([H])[C@H](N(C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1,2.56,-4.3,2.58,3.55e-02 g/l,11.86,-0.58,179.56,73.79,8,4
CCOC1=CC2=C(C=C1NC(=O)\C=C\CN(C)C)C(NC1=CC(Cl)=C(F)C=C1)=C(C=N2)C#N,4.56,-4.8,4.18,7.80e-03 g/l,12.55,8.81,90.28,47.61,6,2
CCCCCCCC(N1CCCC1)C(=O)C1=CC=CC=C1,5.25,-4.8,5.14,4.92e-03 g/l,17.87,7.81,20.31,35.41,2,0
COC1=C2C(NC=C2C(=O)C(=O)N2CCN(CC2)C(=O)C2=CC=CC=C2)=C(OC)N=C1,1.58,-3.6,1.22,9.92e-02 g/l,8.6,2.35,104.83,43.35,6,1
,,,,,,,,,,
N[C@@H](CN(O)N=O)C(O)=O,,,-3.6,,1.5,8.67,116.22,11.94,6,3
CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1,0.86,-0.66,0.66,4.68e+01 g/l,16.29,-1.1,63.4,23.77,2,1
CO[C@H]1CN(CCCCCC(=O)O[C@H]2CN3CCC2CC3)CC[C@H]1NC(=O)C1=C(OC)C=C(N)C(Cl)=C1,3.02,-3.9,2.06,6.58e-02 g/l,14.58,9.26,106.36,59.37,7,2
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,5.64,-6.2,6.27,2.88e-04 g/l,,9.74,72.63,56.1,4,1
CS(O)(=O)=O.O=C1NC2=C(CC3=C2C=CC(=C3)S(=O)(=O)NCCCN2CCOCC2)C2=CC=CC=C12,,,1.22,,10.1,6.14,87.74,47.65,5,2
NC1=NC(N)=C2N=C(C3=CC=CC(O)=C3)C(=NC2=N1)C1=CC(O)=CC=C1,2.43,-3.3,2.77,1.82e-01 g/l,9.25,1.8,144.06,35.2,8,4
